"description","amount","currency","date","balance","category","merchant"
Heroku CHECKCARD CALI CA,-110.0,USD,2021-02-01,1050027.7,Software,Heroku
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,5270.0,USD,2021-02-01,1049917.7,Revenue,Stripe
BlueVine BlueVine ***********,-1100.0,USD,2021-02-01,1055187.7,Debt Repayment,BlueVine
SHOPIFY CAPITAL,-500.0,USD,2021-02-01,1054087.7,Debt Repayment,Shopify Capital
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-02-01,1053587.7,Insurance,Hiscox
Heroku CHECKCARD CALI CA,-140.0,USD,2021-02-01,1053405.7,Software,Heroku
TST* Rosa's Cantina,-69.0,USD,2021-02-02,1053265.7,Other expenses,
PITNEY BOWES,-20.0,USD,2021-02-05,1052905.7,Inventory,Pitney Bowes
USPS POSTAGE STAMPS.C EL SEGUNDO,-10.0,USD,2021-02-06,1052885.7,Postage,USPS
CASH APP*Jamie Parker 123456,-60.0,USD,2021-02-08,1052835.7,P2P Transfers,Cash App
IAT PAYPAL 12345678 FIVERR.,-12.0,USD,2021-02-10,1054520.7,Payroll and Consultants,Paypal
IAT PAYPAL 1234567 FIVERR.,-37.0,USD,2021-02-11,1054508.7,Payroll and Consultants,Paypal
UPS*123456QWERT,-28.0,USD,2021-02-15,1054029.7,Postage,UPS
UPS*123456QWERT,-329.0,USD,2021-02-16,1054001.7,Postage,UPS
CASH APP*Jamie Parker 123456,-60.0,USD,2021-02-17,1053672.7,P2P Transfers,Cash App
CASH APP*Jamie Parker 123456,-60.0,USD,2021-02-18,1053612.7,P2P Transfers,Cash App
MOBILE DEPOSIT,147.0,USD,2021-02-19,1053552.7,Check Deposits,
CASH APP*Jamie Parker 123456,-60.0,USD,2021-02-20,1053699.7,P2P Transfers,Cash App
IAT PAYPAL 12345 FIVERR.,-190.0,USD,2021-02-21,1053639.7,Payroll and Consultants,Paypal
IAT PAYPAL 123456 FIVERR.,-27.0,USD,2021-02-22,1053449.7,Payroll and Consultants,Paypal
CASH APP*Jamie Parker 123456,-60.0,USD,2021-02-23,1053422.7,P2P Transfers,Cash App
CASH APP*Jamie Parker 123456,-60.0,USD,2021-02-25,1054296.7,P2P Transfers,Cash App
DD 902/35350565 WEBFILE TAX PYMT,-262.0,USD,2021-02-26,1054236.7,Taxes,
Facebk Ads Menlo PARK,-340.0,USD,2021-02-27,1053974.7,Advertising,Facebook
Facebk Ads Menlo PARK,-100.0,USD,2021-02-28,1053634.7,Advertising,Facebook
ACH PMT A0000 AMEX EPAYMENT COID,-179.0,USD,2021-02-28,1053534.7,Credit Card,American Express
CASH APP*Jamie Parker 123456,-60.0,USD,2021-03-01,1053355.7,P2P Transfers,Cash App
BlueVine BlueVine ***********,-1100.0,USD,2021-03-01,1053295.7,Debt Repayment,BlueVine
SHOPIFY CAPITAL,-600.0,USD,2021-03-01,1042013.7,Debt Repayment,Shopify Capital
SHOPIFY TRANSFER,6000.0,USD,2021-03-01,1041413.7,Revenue,Shopify
Heroku CHECKCARD CALI CA,-150.0,USD,2021-03-01,1047413.7,Software,Heroku
UPS*0000001R00F6439,-62.0,USD,2021-03-03,1046781.7,Postage,UPS
Amazon,-34.0,USD,2021-03-04,1046719.7,Software,Amazon
CASH APP*Jamie Parker 123456,-60.0,USD,2021-03-05,1046685.7,P2P Transfers,Cash App
TST* Porky's BBQ,-55.0,USD,2021-03-06,1046625.7,Other expenses,
USPS POSTAGE STAMPS.C EL SEGUNDO,-10.0,USD,2021-03-07,1046570.7,Postage,USPS
CASH APP*Jamie Parker 123456,-60.0,USD,2021-03-08,1046560.7,P2P Transfers,Cash App
Facebk Ads Menlo PARK,-29.0,USD,2021-03-09,1046500.7,Advertising,Facebook
MOBILE DEPOSIT,178.0,USD,2021-03-10,1046471.7,Check Deposits,
IAT PAYPAL 1007005179842 FIVERR.,-12.0,USD,2021-03-11,1046649.7,Payroll and Consultants,Paypal
SERVICE CHARGE,-12.0,USD,2021-03-12,1046637.7,Charges/Fees,
CASH APP*Johannes JJ 877417455,-200.0,USD,2021-03-13,1046625.7,P2P Transfers,Cash App
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,6390.0,USD,2021-03-14,1046425.7,Revenue,Stripe
CASH APP*Jamie Parker 123456,-60.0,USD,2021-03-15,1052815.7,P2P Transfers,Cash App
USPS POSTAGE STAMPS.C EL SEGUNDO,-25.0,USD,2021-03-17,1052700.7,Postage,USPS
WWW.CVS.COM,-12.0,USD,2021-03-18,1052675.7,Other expenses,CVS Pharmacy
Facebk Ads Menlo PARK,-100.0,USD,2021-03-19,1052663.7,Advertising,Facebook
CASH APP*Jamie Parker 123456,-60.0,USD,2021-03-20,1052563.7,P2P Transfers,Cash App
CASH APP*Kwokadillo 123456,-3.0,USD,2021-03-21,1052503.7,P2P Transfers,Cash App
CASH APP*Kwokadillo 123456,-125.0,USD,2021-03-22,1052500.7,P2P Transfers,Cash App
Facebk Ads Menlo PARK,-42.0,USD,2021-03-23,1052375.7,Advertising,Facebook
IAT PAYPAL 1006984218939 FIVERR.,-19.0,USD,2021-03-24,1052333.7,Payroll and Consultants,Paypal
MOBILE DEPOSIT,147.0,USD,2021-03-25,1052314.7,Check Deposits,
Facebk Ads Menlo PARK,-38.0,USD,2021-03-26,1052461.7,Advertising,Facebook
CASH APP*Jamie Parker 123456,-60.0,USD,2021-03-27,1052423.7,P2P Transfers,Cash App
FIVERR COM 1234567,-17.0,USD,2021-03-28,1052363.7,Payroll and Consultants,Fiverr
CASH APP*Jamie Parker 123456,-60.0,USD,2021-03-29,1052346.7,P2P Transfers,Cash App
Facebk Ads Menlo PARK,-250.0,USD,2021-03-31,1052387.7,Advertising,Facebook
BlueVine BlueVine ***********,-1100.0,USD,2021-04-01,1052137.7,Debt Repayment,BlueVine
Heroku CHECKCARD CALI CA,-160.0,USD,2021-04-01,1051037.7,Software,Heroku
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-04-01,1050877.7,Insurance,Hiscox
SHOPIFY CAPITAL,-700.0,USD,2021-04-01,1050695.7,Debt Repayment,Shopify Capital
SHOPIFY CAPITAL,-300.0,USD,2021-04-01,1049995.7,Debt Repayment,Shopify Capital
CASH APP*Jamie Parker 123456,-60.0,USD,2021-04-01,1049695.7,P2P Transfers,Cash App
SHOPIFY TRANSFER,7000.0,USD,2021-04-01,1049635.7,Revenue,Shopify
MOBILE DEPOSIT,147.0,USD,2021-04-02,1056635.7,Check Deposits,
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,34.0,USD,2021-04-04,1057169.7,Revenue,Stripe
UPS*0000001R00F6419,-88.0,USD,2021-04-05,1057203.7,Postage,UPS
ADP 401k RC80AU101843W01 ADP 401,-150.0,USD,2021-04-06,1057115.7,Payroll and Consultants,ADP
Amazon,-23.0,USD,2021-04-07,1056965.7,Software,Amazon
MOBILE DEPOSIT,165.0,USD,2021-04-09,1059942.7,Check Deposits,
Amazon.com Amzn.com/bill,-29.0,USD,2021-04-10,1060107.7,Software,Amazon
Amazon.com Amzn.com/bill,-29.0,USD,2021-04-11,1060078.7,Software,Amazon
USPS.COM CLICKNSHIP,-22.0,USD,2021-04-12,1060049.7,Postage,USPS
USPS.COM CLICKNSHIP,-22.0,USD,2021-04-13,1060027.7,Postage,USPS
iTunes,-13.0,USD,2021-04-15,1059992.7,Software,Apple
CASH APP*Jamie Parker 123456,-60.0,USD,2021-04-17,1059963.7,P2P Transfers,Cash App
CASH APP*Johannes JJ 1234567,-20.0,USD,2021-04-18,1059903.7,P2P Transfers,Cash App
Amazon,-25.0,USD,2021-04-19,1059883.7,Software,Amazon
DD 902/35135482 WEBFILE TAX PYMT,-110.0,USD,2021-04-20,1059858.7,Taxes,
Intuit *QuickBooks,-73.0,USD,2021-04-22,1059688.7,Software,Intuit
GOOGLE ADS ADS,-1480.0,USD,2021-04-23,1059615.7,Advertising,Google
GOOGLE ADS ADS,-150.0,USD,2021-04-24,1058135.7,Advertising,Google
CASH APP*Jamie Parker 123456,-60.0,USD,2021-04-25,1057985.7,P2P Transfers,Cash App
GOOGLE ADS ADS,-4125.0,USD,2021-04-28,1057626.7,Advertising,Google
GOOGLE ADS ADS,-500.0,USD,2021-04-30,1055246.7,Advertising,Google
BlueVine BlueVine ***********,-1100.0,USD,2021-05-01,1054746.7,Debt Repayment,BlueVine
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-05-01,1053646.7,Insurance,Hiscox
SHOPIFY TRANSFER,3000.0,USD,2021-05-01,1053464.7,Revenue,Shopify
UPS*0000001R00F6409,-64.0,USD,2021-05-01,1056464.7,Postage,UPS
Heroku CHECKCARD CALI CA,-170.0,USD,2021-05-01,1056400.7,Software,Heroku
SHOPIFY CAPITAL,-500.0,USD,2021-05-01,1056230.7,Debt Repayment,Shopify Capital
SHOPIFY TRANSFER,5000.0,USD,2021-05-01,1055730.7,Revenue,Shopify
USPS POSTAGE STAMPS.C EL SEGUNDO,-25.0,USD,2021-05-02,1060730.7,Postage,USPS
CASH APP*Jamie Parker,-410.0,USD,2021-05-03,1060705.7,P2P Transfers,Cash App
CASH APP*Jamie Parker 123456,-60.0,USD,2021-05-08,1062193.7,P2P Transfers,Cash App
GOOGLE ADS ADS,-400.0,USD,2021-05-09,1062133.7,Advertising,Google
ACH PMT A0000 AMEX EPAYMENT COID,-198.0,USD,2021-05-10,1061733.7,Credit Card,American Express
GOOGLE ADS ADS,-750.0,USD,2021-05-11,1061535.7,Advertising,Google
ACH PMT A0000 AMEX EPAYMENT COID,-193.0,USD,2021-05-13,1060576.7,Credit Card,American Express
INT*IN *QUICKBOOKS MAD GRAND PRA,-500.0,USD,2021-05-14,1060383.7,Software,Intuit
E-BILL 200861832 FRONTIER ONLINE,-83.0,USD,2021-05-15,1059883.7,Utilities,Frontier
TRANSFER TO CHECKING,-340.0,USD,2021-05-16,1059800.7,Unreconciled Intra-Company transfers,
ACH PMT A0000 AMEX EPAYMENT COID,-255.0,USD,2021-05-18,1060006.7,Credit Card,American Express
US SMALL BUSINESS ADMI,-100.0,USD,2021-05-19,1059751.7,Debt Repayment,
U-Haul,-28.0,USD,2021-05-20,1059651.7,Other expenses,U-Haul
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,2450.0,USD,2021-05-21,1059623.7,Revenue,Stripe
PITNEY BOWES,-20.0,USD,2021-05-22,1062073.7,Inventory,Pitney Bowes
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,5310.0,USD,2021-05-23,1062053.7,Revenue,Stripe
UPS*0000001RQWEW1234,-261.0,USD,2021-05-24,1067363.7,Postage,UPS
Amazon.com Amzn.com/bill,-199.0,USD,2021-05-25,1067102.7,Software,Amazon
Arby's CHECKCARD PAYMENT,-67.0,USD,2021-05-26,1066903.7,Other expenses,Arby's
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,494.0,USD,2021-05-30,1066638.7,Revenue,Stripe
SERVICE CHARGE,-12.0,USD,2021-05-31,1067132.7,Charges/Fees,
SHOPIFY CAPITAL,-400.0,USD,2021-06-01,1067120.7,Debt Repayment,Shopify Capital
SHOPIFY TRANSFER,4000.0,USD,2021-06-01,1066720.7,Revenue,Shopify
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-06-01,1070720.7,Insurance,Hiscox
Heroku CHECKCARD CALI CA,-180.0,USD,2021-06-01,1070538.7,Software,Heroku
BlueVine BlueVine ***********,-1100.0,USD,2021-06-01,1070358.7,Debt Repayment,BlueVine
GOOGLE ADS ADS,-100.0,USD,2021-06-01,1069258.7,Advertising,Google
Heroku CHECKCARD CALI CA,-100.0,USD,2021-06-01,1068976.7,Software,Heroku
GOOGLE ADS ADS,-300.0,USD,2021-06-02,1068876.7,Advertising,Google
Netflix,-13.0,USD,2021-06-04,1068556.7,Software,Netflix
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,2960.0,USD,2021-06-05,1068543.7,Revenue,Stripe
PITNEY BOWES,-20.0,USD,2021-06-06,1071503.7,Inventory,Pitney Bowes
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,2690.0,USD,2021-06-08,1072050.7,Revenue,Stripe
INST XFER FACEBOOK FACEBO PAYPAL,-81.0,USD,2021-06-09,1074740.7,Advertising,Facebook
MOBILE DEPOSIT,147.0,USD,2021-06-11,1074877.7,Check Deposits,
PITNEY BOWES,-20.0,USD,2021-06-12,1075024.7,Inventory,Pitney Bowes
SERVICE CHARGE,-12.0,USD,2021-06-13,1075004.7,Charges/Fees,
WWW.ALIBABA.COM DELAWARE DE,-3816.0,USD,2021-06-15,1075372.7,Inventory,Alibaba.com
GOOGLE ADS ADS,-1750.0,USD,2021-06-16,1071556.7,Advertising,Google
GOOGLE ADS ADS,-1000.0,USD,2021-06-20,1069487.7,Advertising,Google
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,2890.0,USD,2021-06-22,1068801.7,Revenue,Stripe
CASH APP*Johannes JJ 877417455,-200.0,USD,2021-06-23,1071691.7,P2P Transfers,Cash App
MOBILE DEPOSIT,294.0,USD,2021-06-25,1071476.7,Check Deposits,
Netflix,-14.0,USD,2021-06-26,1071770.7,Software,Netflix
TRANSFER ST-W2Q9V4R9I9J9 STRIPE,600.0,USD,2021-06-29,1077546.7,Revenue,Stripe
TRANSFER ST-W2Q9V4R9I9J9 STRIPE,1600.0,USD,2021-06-30,1078146.7,Revenue,Stripe
Heroku CHECKCARD CALI CA,-190.0,USD,2021-07-01,1079746.7,Software,Heroku
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-07-01,1079556.7,Insurance,Hiscox
SHOPIFY CAPITAL,-200.0,USD,2021-07-01,1079374.7,Debt Repayment,Shopify Capital
SHOPIFY TRANSFER,2000.0,USD,2021-07-01,1079174.7,Revenue,Shopify
CASH WITHDRAWAL,-200.0,USD,2021-07-01,1081174.7,ATM Cash Outflows,
BlueVine BlueVine ***********,-1100.0,USD,2021-07-01,1080974.7,Debt Repayment,BlueVine
TRANSFER TO CHECKING,-1500.0,USD,2021-07-02,1079874.7,Reconciled Intra-Company transfers,
GOOGLE ADS ADS,-150.0,USD,2021-07-03,1079874.7,Advertising,Google
CASH APP*Jamie Parker 123456,-60.0,USD,2021-07-04,1079724.7,P2P Transfers,Cash App
GOOGLE ADS ADS,-4125.0,USD,2021-07-07,1079365.7,Advertising,Google
GOOGLE ADS ADS,-500.0,USD,2021-07-09,1076985.7,Advertising,Google
UPS*0000001R00F6409,-64.0,USD,2021-07-10,1076485.7,Postage,UPS
USPS POSTAGE STAMPS.C EL SEGUNDO,-25.0,USD,2021-07-11,1076421.7,Postage,USPS
CASH APP*Jamie Parker,-410.0,USD,2021-07-12,1076396.7,P2P Transfers,Cash App
CASH APP*Jamie Parker 123456,-60.0,USD,2021-07-17,1076044.7,P2P Transfers,Cash App
GOOGLE ADS ADS,-400.0,USD,2021-07-18,1075984.7,Advertising,Google
ACH PMT A0000 AMEX EPAYMENT COID,-198.0,USD,2021-07-19,1075584.7,Credit Card,American Express
GOOGLE ADS ADS,-750.0,USD,2021-07-20,1075386.7,Advertising,Google
UPS*0000001R00F6399,-209.0,USD,2021-07-21,1074636.7,Postage,UPS
ACH PMT A0000 AMEX EPAYMENT COID,-193.0,USD,2021-07-22,1074427.7,Credit Card,American Express
INT*IN *QUICKBOOKS MAD GRAND PRA,-500.0,USD,2021-07-23,1074234.7,Software,Intuit
E-BILL 200861832 FRONTIER ONLINE,-83.0,USD,2021-07-24,1073734.7,Utilities,Frontier
TRANSFER TO CHECKING,-340.0,USD,2021-07-25,1073651.7,Unreconciled Intra-Company transfers,
ACH PMT A0000 AMEX EPAYMENT COID,-255.0,USD,2021-07-27,1073857.7,Credit Card,American Express
US SMALL BUSINESS ADMI,-100.0,USD,2021-07-28,1073602.7,Debt Repayment,
U-Haul,-28.0,USD,2021-07-29,1073502.7,Other expenses,U-Haul
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,245.0,USD,2021-07-30,1073474.7,Revenue,Stripe
PITNEY BOWES,-20.0,USD,2021-07-31,1073719.7,Inventory,Pitney Bowes
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-08-01,1073699.7,Insurance,Hiscox
SHOPIFY TRANSFER,1000.0,USD,2021-08-01,1073517.7,Revenue,Shopify
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,531.0,USD,2021-08-01,1074517.7,Revenue,Stripe
BlueVine BlueVine ***********,-1100.0,USD,2021-08-01,1075048.7,Debt Repayment,BlueVine
Heroku CHECKCARD CALI CA,-200.0,USD,2021-08-01,1073948.7,Software,Heroku
SHOPIFY CAPITAL,-100.0,USD,2021-08-01,1073748.7,Debt Repayment,Shopify Capital
UPS*0000001RQWEW1234,-261.0,USD,2021-08-02,1073648.7,Postage,UPS
Amazon.com Amzn.com/bill,-199.0,USD,2021-08-03,1073387.7,Software,Amazon
Arby's CHECKCARD PAYMENT,-67.0,USD,2021-08-04,1073188.7,Other expenses,Arby's
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,494.0,USD,2021-08-08,1072923.7,Revenue,Stripe
SERVICE CHARGE,-12.0,USD,2021-08-09,1073417.7,Charges/Fees,
GOOGLE ADS ADS,-100.0,USD,2021-08-10,1073405.7,Advertising,Google
GOOGLE ADS ADS,-300.0,USD,2021-08-11,1073305.7,Advertising,Google
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,296.0,USD,2021-08-14,1072972.7,Revenue,Stripe
MOBILE DEPOSIT,147.0,USD,2021-08-20,1076642.7,Check Deposits,
PITNEY BOWES,-20.0,USD,2021-08-21,1076789.7,Inventory,Pitney Bowes
SERVICE CHARGE,-12.0,USD,2021-08-22,1076769.7,Charges/Fees,
WWW.ALIBABA.COM DELAWARE DE,-3816.0,USD,2021-08-24,1077137.7,Inventory,Alibaba.com
GOOGLE ADS ADS,-1750.0,USD,2021-08-25,1073321.7,Advertising,Google
